Open,High,Low,Close,Volume
54.56999969482422,54.994998931884766,53.89099884033203,54.29899978637695,40132000
54.45000076293945,54.900001525878906,53.382999420166016,53.574501037597656,43438000
53.62649917602539,53.66749954223633,51.70000076293945,52.7864990234375,45358000
52.7509994506836,53.99100112915039,52.68050003051758,53.47850036621094,28660000
54.17449951171875,55.49649810791016,54.02949905395508,55.4119987487793,43388000
55.3650016784668,55.4109992980957,54.21799850463867,54.73149871826172,33694000
54.20100021362305,54.41749954223633,53.2130012512207,53.85100173950195,34860000
53.65650177001953,53.70500183105469,52.01750183105469,52.46799850463867,34002000
52.740501403808594,53.33349990844727,52.02000045776367,52.39849853515625,25750000
53.0,53.28950119018555,52.05550003051758,52.729000091552734,34666000
52.573001861572266,53.94350051879883,52.06449890136719,53.5525016784668,41584000
53.26150131225586,53.62200164794922,52.744998931884766,53.41350173950195,35366000
53.16949844360352,53.400001525878906,51.14350128173828,51.37099838256836,45684000
50.36449813842773,51.86750030517578,50.11050033569336,51.522499084472656,54458000
52.26549911499024,52.73550033569336,51.97299957275391,52.17150115966797,29698000
51.67499923706055,52.150001525878906,51.42599868774414,51.505001068115234,14178000
52.20000076293945,52.84999847412109,51.98849868774414,52.797000885009766,31558000
52.56700134277344,53.3380012512207,52.275001525878906,52.61399841308594,33048000
52.87300109863281,54.64300155639648,52.147499084472656,54.589500427246094,46042000
54.17649841308594,55.00749969482422,54.09999847412109,54.729000091552734,31004000
54.78150177001953,55.48249816894531,54.15900039672852,55.48249816894531,59668000
56.608001708984375,56.75,55.58649826049805,55.81800079345703,57532000
55.64950180053711,55.71200180053711,53.03900146484375,53.12350082397461,45630000
52.25,53.97100067138672,52.124000549316406,53.90399932861328,47436000
53.61149978637695,54.25149917602539,51.96849822998047,52.32899856567383,42682000
52.14699935913086,52.97999954223633,51.650001525878906,52.65900039672852,33652000
53.34700012207031,53.52000045776367,52.505001068115234,53.08250045776367,33852000
53.854000091552734,54.58649826049805,53.5984992980957,53.686500549316406,28960000
53.78350067138672,54.42100143432617,53.2495002746582,53.67699813842773,24986000
53.0009994506836,53.58599853515625,52.46849822998047,52.58549880981445,36358000
52.35049819946289,53.11899948120117,50.83150100708008,51.282501220703125,49932000
51.70000076293945,52.984500885009766,51.52399826049805,52.170501708984375,43640000
52.36449813842773,53.78549957275391,50.97150039672852,51.77299880981445,58264000
51.29999923706055,52.37200164794922,50.39300155639648,51.17900085449219,53674000
51.60200119018555,51.88349914550781,49.05950164794922,49.5625,104656000
49.21599960327149,50.60599899291992,48.882999420166016,49.23350143432617,36360000
49.89950180053711,52.42250061035156,49.63249969482422,52.39250183105469,46318000
51.310001373291016,52.66699981689453,50.34999847412109,52.64500045776367,45996000
52.97499847412109,53.21149826049805,52.09999847412109,52.33399963378906,34398000
52.89149856567383,53.14950180053711,51.652000427246094,52.24800109863281,33110000
51.36000061035156,53.03950119018555,51.26399993896485,52.73400115966797,31868000
52.53350067138672,53.3129997253418,51.118499755859375,51.27349853515625,41960000
52.12799835205078,54.0,51.84299850463867,53.90349960327149,46022000
54.04850006103516,54.1349983215332,53.13199996948242,53.79600143432617,47446000
54.29999923706055,54.66749954223633,53.41749954223633,54.26850128173828,35414000
54.39950180053711,54.58200073242188,53.71849822998047,54.08250045776367,26998000
53.74700164794922,53.990501403808594,53.23400115966797,53.94150161743164,26598000
53.494998931884766,53.66849899291992,52.82149887084961,53.2234992980957,30864000
52.66699981689453,52.92250061035156,52.4275016784668,52.57550048828125,28490000
52.9005012512207,54.41350173950195,52.72200012207031,54.32550048828125,37518000
54.5,55.11800003051758,54.4005012512207,54.47549819946289,38280000
54.39950180053711,55.03499984741211,54.16299819946289,54.95600128173828,24896000
55.429500579833984,55.900001525878906,54.9640007019043,55.3650016784668,44892000
54.79999923706055,54.94850158691406,53.54449844360352,53.93149948120117,39632000
54.34299850463867,54.647499084472656,53.37850189208984,54.22050094604492,25194000
54.1254997253418,54.400001525878906,53.5009994506836,54.20000076293945,29114000
54.71149826049805,55.167999267578125,54.59000015258789,55.07550048828125,23260000
54.50350189208984,54.66849899291992,53.730499267578125,53.99300003051758,29334000
54.05199813842773,54.23649978637695,53.30099868774414,53.50299835205078,19704000
53.86800003051758,54.97600173950195,53.83200073242188,54.89950180053711,29452000
55.61199951171875,56.38349914550781,55.26250076293945,56.29449844360352,40232000
56.11449813842773,56.720001220703125,55.712501525878906,55.930999755859375,33116000
55.95050048828125,57.117000579833984,55.8754997253418,57.07099914550781,78408000
56.48149871826172,57.63850021362305,56.18000030517578,57.59349822998047,82296000
57.4635009765625,57.70000076293945,55.917999267578125,56.14450073242188,48256000
55.59099960327149,55.5994987487793,54.679500579833984,55.295501708984375,38298000
54.74399948120117,55.255001068115234,54.71200180053711,55.11899948120117,21766000
55.1875,55.67150115966797,55.0,55.10599899291992,18498000
55.55049896240234,56.64300155639648,55.55049896240234,56.37900161743164,35036000
56.652000427246094,57.14250183105469,56.29999923706055,56.43149948120117,28042000
56.25,56.80649948120117,55.85449981689453,56.459999084472656,21106000
56.96500015258789,56.96500015258789,55.83599853515625,55.98149871826172,27826000
55.83200073242188,56.48199844360352,55.83200073242188,56.32550048828125,21980000
56.44400024414063,56.54650115966797,55.587501525878906,56.02949905395508,24090000
55.93899917602539,55.95750045776367,54.89899826049805,55.21049880981445,33272000
55.48500061035156,55.86249923706055,55.025001525878906,55.82799911499024,29436000
56.09650039672852,56.27000045776367,55.70550155639648,55.86650085449219,26208000
55.71849822998047,56.321998596191406,55.334999084472656,56.10049819946289,35026000
